,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
86208,1736,323,8,226,Slc51a,1,0.964795,
86209,673,1475,8,226,Adgrd1,36,0.9999943,
86210,1780,1472,8,226,Blank-07,248,0.5277735,
86211,697,1713,8,226,Fzd5,167,0.6600286,
86212,1202,432,8,226,Slc51a,1,0.5313011,
86213,1080,1158,8,226,Tnfrsf21,122,0.9812113,
86214,637,1263,8,226,background,266,0.94087243,
86215,1108,715,8,226,Clec9a,107,0.71297634,
86216,833,838,8,226,Blank-07,248,0.70149165,
86217,1741,308,8,226,Tnfrsf21,122,0.99981815,
86218,542,451,8,226,Neat1,49,0.9999994,
86219,1645,1348,8,226,Apob,45,0.8451246,
86220,1277,634,8,226,Apob,45,0.99760085,
86221,1798,958,8,226,Slc51a,1,0.99978524,
86222,636,1062,8,226,Adgrd1,36,0.9173761,
86223,1805,370,8,226,Slc51a,1,1.0,
86224,1298,516,8,226,Slc51a,1,0.95336324,
86225,1746,974,8,226,Sstr3,234,0.7805178,
86226,1315,84,8,226,Blank-07,248,0.8160797,
86227,744,893,8,226,background,266,0.97546524,
86228,841,1259,8,226,background,266,0.91654897,
86229,720,1275,8,226,background,266,0.511787,
86230,1961,294,8,226,background,266,0.9961553,
86231,1321,699,8,226,Apob,45,0.93126345,
86232,1113,1044,8,226,background,266,0.7219976,
86233,855,886,8,226,background,266,0.5139364,
86234,1673,838,8,226,S1pr2,157,0.95224464,
86235,726,1499,8,226,Blank-07,248,0.8182998,
86236,1058,203,8,226,background,266,0.85892564,
86237,987,952,8,226,Cd3e,68,0.99999535,
86238,1590,424,8,226,Tnfrsf21,122,0.8952537,
86239,1636,740,8,226,Sdc1,92,0.97818804,
86240,926,1360,8,226,Fzd7,163,0.54638433,
86241,1293,333,8,226,Slc51a,1,0.9999995,
86242,1240,321,8,226,Lpar1,135,0.99826413,
86243,630,686,8,226,Taar7a,212,0.86479926,
86244,968,920,8,226,background,266,0.9981158,
86245,1714,784,8,226,Tm4sf4,15,0.78676575,
86246,42,372,8,226,background,266,0.99695206,
86247,5,452,8,226,background,266,0.8230155,
86248,1747,929,8,226,Cd79b,89,0.56828827,
86249,808,593,8,226,Blank-07,248,0.9986326,
86250,908,220,8,226,Htr1f,199,0.8535555,
86251,988,786,8,226,Sdc1,92,0.99999964,
